FLIGHT_ID,CALLSIGN,OPERATOR,ICAO_ACTYPE,ADEP,DEST,TAS,RFL,TYPE_OF_TRANSPONDER,Date_Added,RUNWAY,GATE,STACK
21519932,KLM36G,KLM,E190,LPPR,EHAM,385,240.0,H,2023-11-27,36R,A44,RIVER
21519933,AFR96HF,AFR,CRJX,EHAM,LFML,431,350.0,H,2023-11-27,,,
21519935,RYR61GH,RYR,B738,EHEH,LERS,375,230.0,S,2023-11-27,,,
21519937,KLM1906,KLM,B737,LYBE,EHAM,450,380.0,L,2023-11-27,36R,E06,ARTIP
21519938,TRA6876,TRA,B738,LGIR,EHAM,450,280.0,L,2023-11-27,36R,D07,ARTIP
21519940,OCO333H,OCO,A210,EBOS,EBST,115,20.0,S,2023-11-27,,,
21519944,RYR3PN,RYR,B738,EHEH,LEAL,375,230.0,S,2023-11-27,,,
21519945,EJU47GY,EJU,A320,EHAM,EKCH,413,330.0,L,2023-11-27,,,
21519946,KLM1503,KLM,B737,EHAM,LEVC,442,350.0,L,2023-11-27,,,
21519952,NCA018,NCA,B748,RJAA,EHAM,483,320.0,L,2023-11-27,36R,R80,ARTIP
21519957,KLM1655,KLM,E190,EHAM,LIPZ,448,390.0,H,2023-11-27,,,
21519958,KLM1977,KLM,B739,EHAM,LHBP,452,350.0,L,2023-11-27,,,
21519959,FYL22F,FYL,C25B,LEMG,EHEH,394,380.0,L,2023-11-27,21,GA2,
21519960,KLM37J,KLM,B738,EHAM,LEBL,450,350.0,L,2023-11-27,,,
21519970,DLH4YF,DLH,A319,EDDF,EHAM,379,260.0,H,2023-11-27,36R,B23,ARTIP
21519971,MSR757,MSR,A20N,HECA,EHAM,461,360.0,S,2023-11-27,36R,G04,ARTIP
21519973,KLM427,KLM,B77W,EHAM,OMDB,501,310.0,L,2023-11-27,,,
21519975,KLM685,KLM,B77W,EHAM,MMMX,507,280.0,L,2023-11-27,,,
21519978,KLM61Q,KLM,B737,EHAM,EPWA,441,390.0,L,2023-11-27,,,
21519980,AFR15AH,AFR,A318,EHAM,LFPG,408,330.0,H,2023-11-27,,,
21519982,EZY79TP,EZY,A20N,EGGD,EHAM,460,250.0,L,2023-11-27,36R,H02,SUGOL
21519983,KLM861,KLM,B789,EHAM,RJAA,482,350.0,L,2023-11-27,,,
21519985,THY14YE,THY,A21N,EHAM,LTFM,438,370.0,L,2023-11-27,,,
21519988,ETD53S,ETD,B78X,EHAM,OMAA,485,370.0,L,2023-11-27,,,
21519989,NJE7JD,NJE,C56X,EHRD,LEJR,420,330.0,H,2023-11-27,,,
21519992,KLM867,KLM,B789,EHAM,RJBB,482,350.0,L,2023-11-27,,,
21519994,BEL7AG,BEL,A319,EBBR,ESSB,444,390.0,H,2023-11-27,,,
21519997,KLM20M,KLM,B738,ESSA,EHAM,456,400.0,L,2023-11-27,36R,C10,ARTIP
21520005,KLM96L,KLM,E75L,EDDL,EHAM,305,140.0,L,2023-11-27,36R,A53,ARTIP
21520007,KLM73C,KLM,E75L,EHAM,LIPE,411,370.0,L,2023-11-27,,,
